Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
2180,,,1961,07A,A098,2,08,08,1,0,0,,,,0,,0,,0,,0,,0,,0,,1,,,,,,,0,0,,,
2180,,,1961,07A,A099,1,08,08,77,1,0,,,,1,,6,,4,,5,,13,,18,,29,,,,,,,0,1,,,
2180,,,1961,07A,A099,2,08,08,38,1,2,,,,0,,0,,0,,3,,7,,8,,15,,,,,,,2,1,,,
2180,,,1961,07A,A100,1,08,08,8,0,0,,,,0,,0,,1,,2,,1,,1,,3,,,,,,,0,0,,,
2180,,,1961,07A,A100,2,08,08,3,0,0,,,,0,,0,,0,,0,,0,,2,,1,,,,,,,0,0,,,
2180,,,1961,07A,A101,1,08,08,5,2,3,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,2,,,
2180,,,1961,07A,A101,2,08,08,3,2,0,,,,0,,0,,1,,0,,0,,0,,0,,,,,,,0,2,,,
2180,,,1961,07A,A102,1,08,08,18,0,3,,,,0,,1,,5,,3,,2,,2,,2,,,,,,,0,0,,,
2180,,,1961,07A,A102,2,08,08,19,1,1,,,,2,,1,,4,,4,,1,,1,,3,,,,,,,1,1,,,
2180,,,1961,07A,A103,1,08,08,261,26,9,,,,7,,8,,27,,34,,26,,44,,77,,,,,,,3,26,,,
2180,,,1961,07A,A103,2,08,08,183,27,12,,,,7,,11,,12,,23,,20,,21,,50,,,,,,,0,27,,,
2180,,,1961,07A,A104,1,08,08,2667,1325,1022,,,,93,,21,,14,,26,,24,,42,,79,,,,,,,21,1325,,,
